Carimbo de data/hora,A qual instituição você está filiado hoje?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,"Em qual instituição você concluiu sua graduação? (Insira a sigla, ex: UFPR, UNIOESTE, PUCPR, UEM, UEL, etc.)",De quais programas de graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",A qual turma da disciplina você pertence?,Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Sexo,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Você mora,Quantos irmãos você tem?,Qual a sua origem?,Possui habilitação para dirigir? Qual categoria?,Qual seu meio de transporte predominante para ir para Universidade?,"Em média, quanto tempo você demora para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?"
16/03/2020 16:53:20,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2019,UFPR,"PET, Monitoria",,,,0,Não,1,4,Sim,"R, SAS, Excel",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Presencial,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,190,90,19/09/1996,Trabalho ocasional,Com os pais,4,Curitiba,B (carro),Carro/moto próprio,20,1,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin, Outras",55,B se chama Bouba e A se chama Kiki.
16/03/2020 17:56:54,UFPR,AG - Agrárias,Doutorado,Ciências Biológicas,2008,Faculdades Integradas Espírita,,2012,2014,UFPR,2,Não,1,0,Não,,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Masculino,183,108,10/08/1981,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,1,Curitiba,B (carro),Carro/moto próprio,20,15,Cachorro,Não toco nenhum instrumento,"Instagram, Linkedin",40,A se chama Bouba e B se chama Kiki.
16/03/2020 17:57:58,UFPR,BL - Ciências Biológiccas,Doutorado,Ciências Biológicas,2014,UFMS,"Iniciação científica, Monitoria, Projeto de extensão",2015,2016,UFPR,1,Não,1,0,Sim,R,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pela pós-graduação,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,160,55,01/12/1993,Trabalho com carteira assinada/Vínculo Formal,Com os pais,0,Outro Estado,B (carro),Carro/moto próprio,5,0,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",48,B se chama Bouba e A se chama Kiki.
16/03/2020 17:59:11,UNILA,,Mestrado Acadêmico,Ciências Exatas,2013,Udc ,"Iniciação científica, Projeto de extensão",,,,1,Não,1,4,Sim,"Statistica, Excel, origin",Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Masculino,180,92,06/07/1985,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge,2,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,20,0,Cachorro,Não toco nenhum instrumento,Facebook,45,B se chama Bouba e A se chama Kiki.
16/03/2020 17:59:39,UEPG,,Doutorado,Ciências Biológicas,2017,UFPR,"Monitoria, Projeto de extensão",2018,2020,UEPG,0,Não,0,0,Não,,Certamente sim,10,Aumento salarial e oportunidades mais promissoras.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,170,54,16/09/1993,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Curitiba,B (carro),Carro/moto próprio,20,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",56,B se chama Bouba e A se chama Kiki.
16/03/2020 17:59:51,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Biológicas,2017,UFRRJ,"Iniciação científica, Monitoria, Projeto de extensão",,,,2,CAPES,1,0,Sim,R,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Feminino,163,58,26/01/1992,Bolsista em tempo integral,Sozinho,3,Outro Estado,Não,Transporte público,30,5,Gato,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",48,B se chama Bouba e A se chama Kiki.
16/03/2020 18:00:10,UEPG,,Mestrado Profissional,Ciências Biológicas,2018,CESCAGE,Monitoria,,,,1,CAPES,1,0,Sim,Excel,Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,UEPG ,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Feminino,160,56,09/02/1996,Bolsista em tempo integral,Com outros familiares,1,Interior do Paraná,B (carro),Carro/moto próprio,5,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",45,A se chama Bouba e B se chama Kiki.
16/03/2020 18:00:36,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2015,UTFPR,"Iniciação científica, Projeto de extensão",,,,1,Não,1,0,Sim,"Excel, Matlab",Certamente sim,8,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola particular,Ensino médio tradicional,Masculino,174,70,08/06/1992,Trabalho com carteira assinada/Vínculo Formal,Com os pais,2,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,45,0,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",54,A se chama Bouba e B se chama Kiki.
16/03/2020 18:01:17,UFPR,TC - Tecnologia,Mestrado Acadêmico,Ciências Exatas,2018,UNIJUI,Iniciação científica,,2021,,12,CAPES,1,8,Sim,Excel,Não sei ainda,4,Conseguir um emprego.,Por ex-alunos da Disciplina,Não,Presencial,Não,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,171,110,23/06/1988,Bolsista em tempo integral,"Pensão, quarto alugado ou algo similar",1,Outro Estado,A e B (moto e carro),A pé,16,14,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",58,B se chama Bouba e A se chama Kiki.
16/03/2020 18:01:19,UEPG,,Doutorado,Ciências Exatas,2016,UNICENTRO,"Iniciação científica, Projeto de extensão",2017,2019,UNICENTRO,5,Não,0,0,Sim,"SPSS, Excel",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Feminino,178,62,18/10/1991,Trabalho com carteira assinada/Vínculo Formal,Sozinho,0,Interior do Paraná,A e B (moto e carro),Carro/moto próprio,20,5,Não possuo,Não toco nenhum instrumento,"Facebook, Google+, Instagram",54,B se chama Bouba e A se chama Kiki.
