Carimbo de data/hora,A qual instituição você está filiado hoje?,"Se você estuda na UFPR, em qual setor você está inserido?  ",Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?,Em qual grande área do conhecimento sua pesquisa está inserida hoje?,Em qual ano você concluiu sua graduação?,"Em qual instituição você concluiu sua graduação? (Insira a sigla, ex: UFPR, UNIOESTE, PUCPR, UEM, UEL, etc.)",De quais programas na graduação você participou?,"Se você já concluiu o mestrado, qual o ano de início do mestrado?",Qual o ano de conclusão do seu mestrado?,Em qual instituição você fez seu mestrado?,Quantos artigos (com qualis) você já publicou?,Você é bolsista remunerado de algum programa? Qual?,Quantas disciplinas de Estatística você cursou na graduação?,Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ,Já utilizou algum software estatístico?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?,Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ,"Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?",Como tomou conhecimento da Disciplina Transversal?,"Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ",A qual turma da disciplina você pertence?,Tem/teve contato ou conhecimento sobre o Prof. Coordenador da Disciplina (Paulo Justiniano)?,Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?,Você cursou o ensino médio em escola pública ou particular?,Você cursou:,Sexo,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Você mora,Quantos irmãos você tem?,Qual a sua origem?,Possui habilitação para dirigir? Qual categoria?,Qual seu meio de transporte predominante para ir para Universidade?,"Em média, quanto tempo você demora para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Quantos anos você acha que a pessoa da foto abaixo tem?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?"
13/03/2020 10:41:35,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Exatas,2019,UFPR,,,,,0,Não,2,4,Sim,"R, SAS, Excel",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Presencial,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,190,90,19/09/1996,Trabalho ocasional,Com os pais,4,Curitiba,B (carro),Carro/moto próprio,20,1,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",55,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:54,UFPR,AG - Agrárias,Mestrado Acadêmico,Ciências Humanas,2002,UFPR,,2009,,UFPR,1,CAPES,1,5,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel, Matlab",Não sei ainda,5,Conseguir um emprego.,Site da UFPR ou instituição de origem,Não,Remota,Não,Não,"Parte em escola pública, parte em particular",Ensino médio profissionalizante (técnico),Feminino,170,60,01/12/1993,Trabalho por contrato,Com amigos,1,Interior do Paraná,Não,A pé,15,5,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho","Violão, Guitarra, Teclado, Contrabaixo, Bateria, Piano, Flauta","Facebook, Twitter, Google+, Instagram, Linkedin, Outras",40,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:73,UFPR,ET - Exatas,Mestrado Acadêmico,Ciências Humanas,2017,UFPR,,,,,0,Não,1,4,Sim,"R, SAS, Minitab, Statistica, SPSS, Excel",Definitivamente não,10,Conseguir um emprego.,Site da UFPR ou instituição de origem,Não,Presencial,Não,Não,Totalmente em escola pública,ASFAF,Masculino,156,61,23/06/1986,Trabalho com carteira assinada/Vínculo Formal,Com os pais,4,Curitiba,B (carro),Carro/moto próprio,20,1,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:92,UFPR,AG - Agrárias,Mestrado Profissional,Ciências Exatas,2015,PUC - Pr,,2009,2011,UFPR,5,CAPES,0,18,Não,"R, SAS, Minitab, Statistica, SPSS, Matlab",Certamente sim,8,Aumento salarial e oportunidades mais promissoras.,Email institucional da SuCom (Superintendência de Comunicação e Marketing),Não,Presencial,Não,Não,Totalmente em escola particular,F,Masculino,169,78,27/07/1993,Trabalho ocasional,Com outros familiares,4,Região metropolitana,A e B (moto e carro),Carro/moto próprio,40,1,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:111,UEL,BL - Ciências Biológicas,Doutorado,Ciências Biológicas,2006,UFPR,,,,,0,CNPQ,2,5,Sim,"R, SAS, Minitab, Statistica, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por alguma outra mídia social da UFPR,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",F,Feminino,165,73,05/05/1983,Trabalho por contrato,Com amigos,1,Interior do Paraná,B (carro),Carro/moto próprio,25,0,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin, Outras",50,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:130,UEM,ET - Exatas,Pós-Doutorado,Ciências Exatas,2013,PUC PR,,,,,0,LACTEC,1,0,Não,"R, SAS, Minitab, SPSS, Excel, Matlab",Certamente sim,9,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Pelos professores que ministram/ministraram disciplinas da Transversal,Não,Remota,Sim,Sim,Totalmente em escola particular,Ensino médio tradicional,Masculino,175,90,16/07/1988,Bolsista em tempo integral,Com o namorado(a)/noivo(a)/cônjuge,1,Outro Estado,B (carro),Carro/moto próprio,20,5,"Cachorro, Gato, Pássaro, Peixe","Violão, Guitarra, Teclado, Contrabaixo",Facebook,52,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:149,UEPG,AG - Agrárias,Professor,Ciências Exatas,1991,UEM,,2013,2015,Unipar,5,SIMEPAR,1,0,Sim,"R, SAS, Statistica, SPSS, Excel, Matlab",Não sei ainda,10,AASFASF,Pelo(a) orientador(a),Não,Remota,Sim,Não,"Parte em escola pública, parte em particular",Ensino médio tradicional,Feminino,168,54,13/03/1970,PKLFA,"Pensão, quarto alugado ou algo similar",2,Outro País,B (carro),Transporte público,30,5,"Tartaruga, Coelho",Violão,"Facebook, Instagram",65,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:168,UNIOESTE,ET - Exatas,FGH,Ciências Exatas,2012,UFPR,,,,,0,Fundação Araucária,1,1,Não,"R, Minitab, Statistica, SPSS, Excel, Matlab",Definitivamente não,10,JHGF,Por ex-alunos da Disciplina,Não,Presencial,Sim,Não,Totalmente em escola pública,Ensino médio tradicional,Masculino,160,68,06/04/1987,ASFA,Sozinho,1,Curitiba,Superior à B,Carro/moto próprio,20,1,"Pássaro, Peixe, Tartaruga, Coelho",Violão,"Facebook, Instagram",55,B se chama Bouba e A se chama Kiki.
13/03/2020 10:41:187,UNICENTRO,AG - Agrárias,JHG,Ciências Humanas,2015,Unoeste,,2007,2010,UFPR,2,Não,0,2,Sim,"SAS, Minitab, Statistica, SPSS, Excel, Matlab",Certamente sim,10,Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.,Por colegas,Sim,Remota,Não,Não,Totalmente em escola particular,Ensino médio profissionalizante (técnico),Masculino,175,83,30/08/1981,FE,Com os pais,2,Região metropolitana,B (carro),Carro/moto próprio,20,5,Não possuo,Violão,"Facebook, Instagram",40,A se chama Bouba e B se chama Kiki.
13/03/2020 10:41:206,UENP,BL - Ciências Biológicas,WS,Ciências Humanas,2008,UFPR,,2013,2015,UFPR,3,Não,0,0,Sim,ASFDAF,Não sei ainda,10,Conseguir um emprego.,ASFA,Não,Presencial,Não,Não,"Parte em escola pública, parte em particular",ASFAF,Feminino,170,72,15/03/1986,GDF,Com amigos,1,Curitiba,B (carro),Carro/moto próprio,25,3,"Cachorro, Gato, Pássaro, Peixe, Tartaruga, Coelho",Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",48,B se chama Bouba e A se chama Kiki.
